6300	12.6	0.1524	39.6	0.0584113	103.38
5000	12.6	0.1524	39.6	0.0584113	104.13
6300	15.6	0.1016	39.6	0.0528487	104.204
4000	12.6	0.1524	39.6	0.0584113	104.5
12500	1.5	0.3048	39.6	0.00392107	106.111
5000	15.6	0.1016	39.6	0.0528487	106.224
3150	12.6	0.1524	39.6	0.0584113	106.26
16000	1.5	0.3048	71.3	0.00336729	106.582
4000	15.6	0.1016	39.6	0.0528487	106.604
2500	12.6	0.1524	39.6	0.0584113	106.88
5000	12.3	0.1016	31.7	0.0418756	107.147
6300	12.3	0.1016	31.7	0.0418756	107.267
6300	12.6	0.1524	71.3	0.0483159	107.284
12500	4	0.3048	71.3	0.00497773	107.405
6300	12.3	0.1016	39.6	0.0408268	107.985
4000	12.6	0.1524	71.3	0.0483159	108.034
5000	12.6	0.1524	71.3	0.0483159	108.034
6300	15.4	0.0508	31.7	0.0289853	108.185
10000	0	0.3048	31.7	0.00331266	108.265
4000	12.3	0.1016	31.7	0.0418756	108.407
5000	12.3	0.1016	39.6	0.0408268	108.625
12500	2.7	0.1524	39.6	0.00294804	108.649
4000	19.7	0.0508	39.6	0.036484	108.684
6300	9.9	0.1524	31.7	0.0252785	108.689
16000	0	0.3048	71.3	0.00266337	108.721
10000	1.5	0.3048	39.6	0.00392107	108.991
12500	1.5	0.3048	71.3	0.00336729	109.222
3150	15.6	0.1016	39.6	0.0528487	109.254
2000	12.6	0.1524	39.6	0.0584113	109.52
12500	0	0.3048	39.6	0.00310138	109.619
20000	4	0.2286	71.3	0.00400603	109.638
6300	15.4	0.0508	39.6	0.0282593	109.663
6300	3	0.3048	31.7	0.00529514	109.718
6300	9.9	0.1524	39.6	0.0233328	109.885
5000	9.9	0.1524	31.7	0.0252785	109.949
200	17.4	0.0254	55.5	0.0165706	109.951
6300	12.3	0.1016	55.5	0.0368233	110.124
10000	3	0.3048	71.3	0.00425727	110.224
2500	15.6	0.1016	39.6	0.0528487	110.264
3150	12.3	0.1016	31.7	0.0418756	110.307
10000	7.2	0.1524	71.3	0.00752039	110.313
2500	12.3	0.1016	31.7	0.0418756	110.317
16000	2.7	0.1524	71.3	0.00243851	110.364
2000	12.3	0.1016	31.7	0.0418756	110.447
250	17.4	0.0254	55.5	0.0165706	110.491
8000	0	0.3048	31.7	0.00331266	110.515
6300	9.9	0.1524	55.5	0.0208438	110.555
8000	3	0.3048	39.6	0.00495741	110.652
6300	7.3	0.2286	31.7	0.0132672	110.689
1600	12.6	0.1524	39.6	0.0584113	110.78
6300	7.3	0.2286	39.6	0.0123481	110.839
10000	7.2	0.1524	39.6	0.00909175	110.868
2000	15.6	0.1016	39.6	0.0528487	110.894
10000	4	0.3048	71.3	0.00497773	110.905
4000	12.3	0.1016	39.6	0.0408268	110.905
5000	7.3	0.2286	31.7	0.0132672	111.029
12500	0	0.3048	55.5	0.00283081	111.076
5000	9.9	0.1524	39.6	0.0233328	111.135
10000	5.3	0.2286	71.3	0.0051942	111.35
4000	9.9	0.1524	31.7	0.0252785	111.459
6300	7.3	0.2286	55.5	0.0111706	111.534
8000	7.2	0.1524	39.6	0.00909175	111.588
3150	7.2	0.1524	39.6	0.00909175	111.818
315	17.4	0.0254	55.5	0.0165706	111.911
5000	7.3	0.2286	39.6	0.0123481	111.959
5000	12.3	0.1016	55.5	0.0368233	112.014
6300	9.9	0.1524	71.3	0.0193001	112.039
5000	9.9	0.1524	55.5	0.0208438	112.065
10000	0	0.3048	39.6	0.00310138	112.139
1250	12.6	0.1524	39.6	0.0584113	112.16
10000	3	0.3048	55.5	0.00452492	112.169
3150	9.9	0.1524	31.7	0.0252785	112.209
12500	0	0.3048	71.3	0.00266337	112.241
8000	1.5	0.3048	39.6	0.00392107	112.251
4000	9.9	0.1524	39.6	0.0233328	112.265
5000	15.4	0.0508	31.7	0.0289853	112.355
200	17.4	0.0254	71.3	0.016104	112.506
8000	4	0.2286	55.5	0.0042862	112.524
6300	5.3	0.2286	39.6	0.00614329	112.541
10000	2.7	0.1524	39.6	0.00294804	112.589
4000	7.3	0.2286	31.7	0.0132672	112.639
8000	15.4	0.0508	71.3	0.0264269	112.675
6300	7.2	0.1524	39.6	0.00909175	112.688
6300	4	0.2286	31.7	0.00509068	112.699
16000	4	0.2286	71.3	0.00400603	112.768
16000	0	0.1524	55.5	0.00172668	112.803
8000	4	0.2286	71.3	0.00400603	112.848
6300	15.4	0.0508	55.5	0.0271925	112.93
4000	9.9	0.1524	55.5	0.0208438	112.945
3150	19.7	0.0508	39.6	0.036484	113.004
12500	2.7	0.1524	71.3	0.00243851	113.034
4000	19.7	0.0508	71.3	0.0341183	113.045
3150	12.3	0.1016	39.6	0.0408268	113.055
10000	0	0.3048	55.5	0.00283081	113.076
5000	8.9	0.1016	39.6	0.0124596	113.08
10000	2	0.2286	71.3	0.00293031	113.086
10000	4	0.2286	71.3	0.00400603	113.108
6300	8.9	0.1016	39.6	0.0124596	113.11
8000	4	0.2286	39.6	0.00473801	113.129
5000	7.3	0.2286	55.5	0.0111706	113.144
3150	7.3	0.2286	31.7	0.0132672	113.229
5000	7.2	0.1524	39.6	0.00909175	113.288
16000	0	0.1524	71.3	0.0015988	113.297
4000	15.6	0.1016	71.3	0.0437259	113.298
2500	12.3	0.1016	39.6	0.0408268	113.315
8000	7.2	0.1524	71.3	0.00752039	113.333
3150	12.6	0.1524	71.3	0.0483159	113.334
10000	1.5	0.3048	71.3	0.00336729	113.492
3150	9.9	0.1524	39.6	0.0233328	113.525
8000	4	0.3048	71.3	0.00497773	113.665
5000	4	0.3048	39.6	0.00579636	113.733
6300	0	0.3048	31.7	0.00331266	113.775
250	17.4	0.0254	71.3	0.016104	113.796
8000	3	0.3048	55.5	0.00452492	113.799
5000	3	0.3048	31.7	0.00529514	113.858
6300	12.3	0.1016	71.3	0.0337792	113.958
6300	3	0.3048	39.6	0.00495741	114.042
200	17.4	0.0254	39.6	0.0172206	114.044
4000	7.3	0.2286	39.6	0.0123481	114.079
2000	12.3	0.1016	39.6	0.0408268	114.085
6300	4	0.2286	39.6	0.00473801	114.249
12500	4	0.2286	71.3	0.00400603	114.258
4000	7.2	0.1524	39.6	0.00909175	114.258
3150	7.3	0.2286	39.6	0.0123481	114.309
4000	12.3	0.1016	55.5	0.0368233	114.404
10000	12.7	0.0254	71.3	0.0121808	114.418
5000	15.4	0.0508	39.6	0.0282593	114.453
20000	0	0.2286	71.3	0.00214345	114.474
1600	12.3	0.1016	31.7	0.0418756	114.477
1600	15.6	0.1016	39.6	0.0528487	114.554
5000	9.9	0.1524	71.3	0.0193001	114.569
8000	3	0.3048	71.3	0.00425727	114.634
1000	12.6	0.1524	39.6	0.0584113	114.67
2500	7.3	0.2286	31.7	0.0132672	114.709
